Date,Country/Region,Cumulative Cases
2020-03-15 00:00:00,Vietnam,56
2020-03-16 00:00:00,Indonesia,134
2020-03-16 00:00:00,Malaysia,566
2020-03-16 00:00:00,Philippines,142
2020-03-16 00:00:00,Singapore,243
2020-03-16 00:00:00,Thailand,147
2020-03-16 00:00:00,Vietnam,61
2020-03-17 00:00:00,Indonesia,172
2020-03-17 00:00:00,Malaysia,673
2020-03-17 00:00:00,Philippines,187
2020-03-17 00:00:00,Singapore,266
2020-03-17 00:00:00,Thailand,177
2020-03-17 00:00:00,Vietnam,66
2020-03-18 00:00:00,Indonesia,227
2020-03-18 00:00:00,Malaysia,790
2020-03-18 00:00:00,Philippines,202
2020-03-18 00:00:00,Singapore,313
2020-03-18 00:00:00,Thailand,212
2020-03-18 00:00:00,Vietnam,75
2020-03-19 00:00:00,Indonesia,311
2020-03-19 00:00:00,Malaysia,900
2020-03-19 00:00:00,Philippines,217
2020-03-19 00:00:00,Singapore,345
2020-03-19 00:00:00,Thailand,272
2020-03-19 00:00:00,Vietnam,85
2020-03-20 00:00:00,Indonesia,369
2020-03-20 00:00:00,Malaysia,1030
2020-03-20 00:00:00,Philippines,230
2020-03-20 00:00:00,Singapore,385
2020-03-20 00:00:00,Thailand,322
2020-03-20 00:00:00,Vietnam,91
2020-03-21 00:00:00,Indonesia,450
2020-03-21 00:00:00,Malaysia,1183
2020-03-21 00:00:00,Philippines,307
2020-03-21 00:00:00,Singapore,432
2020-03-21 00:00:00,Thailand,411
2020-03-21 00:00:00,Vietnam,94
2020-03-22 00:00:00,Indonesia,514
2020-03-22 00:00:00,Malaysia,1306
2020-03-22 00:00:00,Philippines,380
2020-03-22 00:00:00,Singapore,455
2020-03-22 00:00:00,Thailand,599
2020-03-22 00:00:00,Vietnam,113
2020-03-23 00:00:00,Indonesia,579
2020-03-23 00:00:00,Malaysia,1518
2020-03-23 00:00:00,Philippines,462
2020-03-23 00:00:00,Singapore,509
2020-03-23 00:00:00,Thailand,721
2020-03-23 00:00:00,Vietnam,123
2020-03-24 00:00:00,Indonesia,686
2020-03-24 00:00:00,Malaysia,1624
2020-03-24 00:00:00,Philippines,552
2020-03-24 00:00:00,Singapore,558
2020-03-24 00:00:00,Thailand,827
2020-03-24 00:00:00,Vietnam,134
2020-03-25 00:00:00,Indonesia,790
2020-03-25 00:00:00,Malaysia,1796
2020-03-25 00:00:00,Philippines,636
2020-03-25 00:00:00,Singapore,631
2020-03-25 00:00:00,Thailand,934
2020-03-25 00:00:00,Vietnam,141
2020-03-26 00:00:00,Indonesia,893
2020-03-26 00:00:00,Malaysia,2031
2020-03-26 00:00:00,Philippines,707
2020-03-26 00:00:00,Singapore,683
